filename,params_json
real_accel_decel_fast_a1.20_c0.00_y_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.20_c0.00_y"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.20_c0.15_y_rep2_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.20_c0.15_y"", ""rep_index"": 2, ""session_id"": ""20260709_185042""}"
real_zigzag_0_rep0_20260709_185042.csv,"{""motif"": ""zigzag"", ""motif_id"": ""zigzag_0"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_zigzag_1_rep0_20260709_185042.csv,"{""motif"": ""zigzag"", ""motif_id"": ""zigzag_1"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_a0.60_c0.50_x_rep0_20260709_185431.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.50_x"", ""rep_index"": 0, ""session_id"": ""20260709_185431""}"
real_accel_decel_a0.60_c1.00_x_rep1_20260709_185431.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c1.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_185431""}"
real_accel_decel_a0.80_c0.00_x_rep1_20260709_185431.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.80_c0.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_185431""}"
real_sines_x_f0.10-0.30_a0.20_rep0_20260709_185431.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_x_f0.10-0.30_a0.20"", ""rep_index"": 0, ""session_id"": ""20260709_185431""}"
real_accel_decel_fast_a0.90_c0.15_y_rep1_20260709_185431.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a0.90_c0.15_y"", ""rep_index"": 1, ""session_id"": ""20260709_185431""}"
real_accel_decel_fast_a1.20_c0.15_y_rep3_20260709_185431.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.20_c0.15_y"", ""rep_index"": 3, ""session_id"": ""20260709_185431""}"
real_zigzag_1_rep1_20260709_185431.csv,"{""motif"": ""zigzag"", ""motif_id"": ""zigzag_1"", ""rep_index"": 1, ""session_id"": ""20260709_185431""}"
real_accel_decel_a0.80_c0.50_x_rep0_20260709_184425.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.80_c0.50_x"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_accel_decel_a0.80_c1.00_x_rep0_20260709_184425.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.80_c1.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_accel_decel_a0.60_c0.50_y_rep0_20260709_184425.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.50_y"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_vertical_bob_amp0.10_T3.0_rep0_20260709_184425.csv,"{""motif"": ""vertical_bob"", ""motif_id"": ""vertical_bob_amp0.10_T3.0"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_vertical_bob_amp0.10_T3.0_rep1_20260709_184425.csv,"{""motif"": ""vertical_bob"", ""motif_id"": ""vertical_bob_amp0.10_T3.0"", ""rep_index"": 1, ""session_id"": ""20260709_184425""}"
real_offset_turn_v0.30_yr30_rep0_20260709_184425.csv,"{""motif"": ""offset_turn"", ""motif_id"": ""offset_turn_v0.30_yr30"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_sines_y_f0.10-0.30_a0.40_rep0_20260709_184425.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_y_f0.10-0.30_a0.40"", ""rep_index"": 0, ""session_id"": ""20260709_184425""}"
real_vertical_bob_amp0.10_T2.0_rep0_20260709_184636.csv,"{""motif"": ""vertical_bob"", ""motif_id"": ""vertical_bob_amp0.10_T2.0"", ""rep_index"": 0, ""session_id"": ""20260709_184636""}"
real_sines_y_f0.10-0.30_a0.40_rep1_20260709_184731.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_y_f0.10-0.30_a0.40"", ""rep_index"": 1, ""session_id"": ""20260709_184731""}"
real_accel_decel_fast_a0.90_c0.00_y_rep0_20260709_184731.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a0.90_c0.00_y"", ""rep_index"": 0, ""session_id"": ""20260709_184731""}"
real_accel_decel_fast_a1.20_c0.15_y_rep0_20260709_184731.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.20_c0.15_y"", ""rep_index"": 0, ""session_id"": ""20260709_184731""}"
