pc_time_s,pc_time_iso,cf_time_ms,session_id,motif_id,motif_type,motif_phase,rep_index,motif_param_json,flight_phase,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rate_deg_s,cmd_height_m,cmd_vx_raw_m_s,cmd_vy_raw_m_s,cmd_yaw_rate_raw_deg_s,cmd_height_raw_m,safety_override_active,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,flow_delta_x_px,flow_delta_y_px,flow_squal,zrange_mm,zrange_m,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,roll_deg,pitch_deg,yaw_deg,kalman_state_z_m,kalman_state_pz,kalman_var_z,kalman_var_pz,battery_v,battery_level_pct,pm_state,motor_m1,motor_m2,motor_m3,motor_m4,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,baro_asl_m,baro_pressure_hpa,baro_temp_c,safety_flag,should_land,event
1783703882.003619,2026-07-10T10:18:02,20325,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.03058948516845703,0.0,0.0,0.9,-0.03058948516845703,0.0,0.0,0.9,False,0.009265612810850143,0.006623714696615934,1.0043301582336426,1.4781436920166016,-9.281064987182617,0.6914472579956055,0.0,0.0,115.0,975.0,0.975,0.13248121738433838,-0.013759372755885124,0.9742203950881958,-0.014000431634485722,-0.008535927161574364,-0.05756707862019539,-0.4214378595352173,-0.6867818832397461,-1.6342195272445679,0.9755195379257202,-0.04580610245466232,5.5828190852480475e-06,0.00031604760442860425,3.526099681854248,10.0,0.0,41865.0,46725.0,41911.0,44027.0,32.766,32.766,1.365,32.766,1.877,2020.1884765625,809.814208984375,31.48934555053711,,False,
1783703882.0137463,2026-07-10T10:18:02,20336,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.03058948516845703,0.0,0.0,0.9,-0.03058948516845703,0.0,0.0,0.9,False,0.00526407640427351,0.002379696350544691,1.0173089504241943,3.9238710403442383,-4.101044654846191,-1.0791289806365967,-1.0,0.0,108.0,969.0,0.969,0.1314752697944641,-0.011831714771687984,0.9713096618652344,-0.01244140975177288,-0.004854622296988964,-0.07003433257341385,-0.4214378595352173,-0.6867818832397461,-1.6342195272445679,0.9755195379257202,-0.04580610245466232,5.5828190852480475e-06,0.00031604760442860425,3.526099681854248,10.0,0.0,41865.0,46725.0,41911.0,44027.0,32.766,32.766,1.365,32.766,1.877,2020.1884765625,809.814208984375,31.48934555053711,,False,
1783703882.0238745,2026-07-10T10:18:02,20345,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.03662109374999999,0.0,0.0,0.9,-0.03662109374999999,0.0,0.0,0.9,False,0.0006740159587934613,0.0025002409238368273,1.032908320426941,5.4841742515563965,-5.595370769500732,0.6547523736953735,0.0,0.0,116.0,969.0,0.969,0.1314752697944641,-0.011831714771687984,0.9713096618652344,-0.01244140975177288,-0.004854622296988964,-0.07003433257341385,-0.3884500563144684,-0.531234085559845,-1.6261595487594604,0.9706175923347473,-0.06850507855415344,3.0701137347932672e-06,0.00023600918939337134,3.526099681854248,10.0,0.0,42876.0,48576.0,42332.0,44080.0,32.766,32.766,1.365,32.766,1.877,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.034006,2026-07-10T10:18:02,20356,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.03662109374999999,0.0,0.0,0.9,-0.03662109374999999,0.0,0.0,0.9,False,0.007293643895536661,0.0051130387000739574,1.039218544960022,-1.0824204683303833,-3.4719066619873047,0.22299903631210327,0.0,0.0,116.0,969.0,0.969,0.13124698400497437,-0.011914997361600399,0.9699490070343018,-0.010436613112688065,-0.0034976769238710403,-0.0653366893529892,-0.3884500563144684,-0.531234085559845,-1.6261595487594604,0.9706175923347473,-0.06850507855415344,3.0701137347932672e-06,0.00023600918939337134,3.526099681854248,10.0,0.0,42876.0,48576.0,42332.0,44080.0,32.766,32.766,1.365,32.766,1.877,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.0441387,2026-07-10T10:18:02,20365,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.042655992507934566,0.0,0.0,0.9,-0.042655992507934566,0.0,0.0,0.9,False,0.006149881053715944,-0.0028840452432632446,1.0503863096237183,-0.6017689108848572,-5.811513423919678,1.464464545249939,0.0,0.0,111.0,969.0,0.969,0.13124698400497437,-0.011914997361600399,0.9699490070343018,-0.010436613112688065,-0.0034976769238710403,-0.0653366893529892,-0.3418288230895996,-0.48283815383911133,-1.6233375072479248,0.9706175923347473,-0.06850507855415344,3.0701137347932672e-06,0.00023600918939337134,3.526099681854248,10.0,0.0,42876.0,48576.0,42332.0,44080.0,32.766,32.766,1.365,32.766,1.877,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.0542996,2026-07-10T10:18:02,20377,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.042655992507934566,0.0,0.0,0.9,-0.042655992507934566,0.0,0.0,0.9,False,0.008218294940888882,0.0007136575295589864,1.0650087594985962,-3.363042116165161,-3.7302913665771484,0.6916409134864807,0.0,-1.0,101.0,969.0,0.969,0.13394109904766083,-0.011293558403849602,0.9687235951423645,-0.005395418498665094,-0.001568045001477003,-0.05668271705508232,-0.37700650095939636,-0.4208971858024597,-1.609307885169983,0.9706175923347473,-0.06850507855415344,3.0701137347932672e-06,0.00023600918939337134,3.526099681854248,10.0,0.0,42876.0,48576.0,42332.0,44080.0,32.766,32.766,1.365,32.766,1.877,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.0643892,2026-07-10T10:18:02,20385,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.04868838787078857,0.0,0.0,0.9,-0.04868838787078857,0.0,0.0,0.9,False,0.016856666654348373,-0.00045385543489828706,1.0703634023666382,2.7124435901641846,-2.354426383972168,-0.6245664954185486,0.0,0.0,116.0,969.0,0.969,0.13394109904766083,-0.011293558403849602,0.9687235951423645,-0.005395418498665094,-0.001568045001477003,-0.05668271705508232,-0.37700650095939636,-0.4208971858024597,-1.609307885169983,0.9706175923347473,-0.06850507855415344,3.0701137347932672e-06,0.00023600918939337134,3.526099681854248,10.0,0.0,42876.0,48576.0,42332.0,44080.0,32.766,32.766,1.365,32.766,1.877,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.07456,2026-07-10T10:18:02,20397,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.04868838787078857,0.0,0.0,0.9,-0.04868838787078857,0.0,0.0,0.9,False,0.004586482886224985,0.0035352420527487993,1.075427532196045,2.2620086669921875,-6.182756423950195,0.3639248013496399,0.0,0.0,112.0,965.0,0.965,0.1338549107313156,-0.01128992810845375,0.9664545655250549,-0.0037733709905296564,-0.0002700233308132738,-0.05090482532978058,-0.3356530964374542,-0.346398264169693,-1.608648657798767,0.9677175879478455,-0.04364066943526268,5.5502678151242435e-06,0.0003139095788355917,3.5313782691955566,10.0,0.0,42170.0,47994.0,43204.0,44780.0,32.766,32.766,1.368,32.766,1.881,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.084705,2026-07-10T10:18:02,20405,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.05471978187561034,0.0,0.0,0.9,-0.05471978187561034,0.0,0.0,0.9,False,0.014631311409175396,0.010709704831242561,1.0690913200378418,4.18526554107666,-9.79752254486084,1.2700504064559937,1.0,0.0,112.0,965.0,0.965,0.1338549107313156,-0.01128992810845375,0.9664545655250549,-0.0037733709905296564,-0.0002700233308132738,-0.05090482532978058,-0.3356530964374542,-0.346398264169693,-1.608648657798767,0.9677175879478455,-0.04364066943526268,5.5502678151242435e-06,0.0003139095788355917,3.5313782691955566,10.0,0.0,42170.0,47994.0,43204.0,44780.0,32.766,32.766,1.368,32.766,1.881,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
1783703882.0948339,2026-07-10T10:18:02,20417,20260710_101749,accel_decel_a0.30_c0.00_x_h0.90,accel_decel_pulse,return,0,"{""accel_mps2"": 0.3, ""peak_speed_mps"": 0.22499999999999998, ""cruise_s"": 0.0, ""axis"": ""x""}",trajectory,-0.05471978187561034,0.0,0.0,0.9,-0.05471978187561034,0.0,0.0,0.9,False,0.0003608293191064149,0.0024027624167501926,1.073562502861023,0.6257274150848389,-13.465606689453125,1.1602811813354492,-1.0,-1.0,111.0,965.0,0.965,0.13082058727741241,-0.012306208722293377,0.9655804634094238,-0.005721417721360922,-0.00016874058928806335,-0.0367702841758728,-0.2938831150531769,-0.12790128588676453,-1.589650273323059,0.9677175879478455,-0.04364066943526268,5.5502678151242435e-06,0.0003139095788355917,3.5313782691955566,10.0,0.0,42170.0,47994.0,43204.0,44780.0,32.766,32.766,1.368,32.766,1.881,2020.0518798828125,809.8259887695312,31.46603012084961,,False,
